"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LS1";"Buzzer_12x9.5RM7.6";1;"Speaker";;;
2;"U11,U9,U10";"SOIC-8_3.9x4.9mm_P1.27mm";3;"RC4580";;;
3;"U17";"MSOP-10_3x3mm_P0.5mm";1;"MCP4728";;;
4;"C36,C48,C39,C37,C38,C14,C13";"CP_Radial_D10.0mm_P5.00mm";7;"470u";;;
5;"R49,R84,R70,R69,R99,R13,R92,R40,R31,R78,R34,R1,R98,R27,R33,R77,R93,R82,R85,R32,R105,R36,R28,R48,R104,R72,R39,R71";"R_0805_2012Metric";28;"2k2";;;
6;"D18";"D_MiniMELF";1;"3v9";;;
7;"U13,U14,U8,U4,U7,U6,U5";"SOT-23-6_Handsoldering";7;"74LVC1G3157";;;
8;"Q8";"TO-220-3_Vertical";1;"TIP41B";;;
9;"C59,C89,C60,C51,C44,C65,C57,C54,C61,C85,C55,C69,C58";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";13;"1u";;;
10;"C32,C25,C11,C26,C18,C16,C10,C30,C34,C27,C29,C23,C28,C22,C19,C31,C35,C9,C17,C20,C33,C24,C21";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";23;"2u2";;;
11;"TH1";"R_0805_2012Metric";1;"Thermistor_NTC";;;
12;"Q12,Q17,Q13,Q11,Q9,Q19,Q10";"SOT-23";7;"2N7002K";;;
13;"R60,R12,R54,R5,R88,R3,R11,R55,R56,R61,R59,R81";"R_0805_2012Metric";12;"10k";;;
14;"R35,R74,R75,R79,R89,R8,R14,R100,R6,R41,R91,R7,R101,R22";"R_0805_2012Metric";14;"47k";;;
15;"D21,D15,D2,D12";"D_SMA";4;"D_Schottky";;;
16;"D20,D6,D8,D5,D7,D10,D19";"D_SOD-123";7;"LL4148";;;
17;"U21,U12,U15";"SOIC-8_3.9x4.9mm_P1.27mm";3;"MC34063AD";;;
18;"R66";"R_0805_2012Metric";1;"11k";;;
19;"R53,R96,R67,R20,R103";"R_0805_2012Metric";5;"1k";;;
20;"R65,R47,R64,R44,R62";"R_0805_2012Metric";5;"39k";;;
21;"C2,C81,C80";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4u7";;;
22;"Vin1";"TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal";1;"Vin";;;
23;"R25,R30,R9,R16,R29";"R_0805_2012Metric";5;"1k2";;;
24;"R52,R95,R102";"R_0805_2012Metric";3;"3k";;;
25;"R4,R42,R15";"R_0805_2012Metric";3;"4k7";;;
26;"R68,R83,R97,R43,R37";"R_0805_2012Metric";5;"NC";;;
27;"C3,C47,C84,C75,C70,C4,C46,C52,C5,C72,C50,C68,C67,C53,C78,C79,C49,C15,C93,C1";"C_0805_2012Metric";20;"100n";;;
28;"U18,U16";"SOIC-14_3.9x8.7mm_P1.27mm";2;"LM324";;;
29;"C71,C62,C90";"CP_Radial_D8.0mm_P5.00mm";3;"220u";;;
30;"R57,R58";"R_1206_3216Metric";2;"1M";;;
31;"C6,C8,C94,C12";"C_0805_2012Metric";4;"1u";;;
32;"U2";"TO-252-5_TabPin3";1;"APE1707H-HF";;;
33;"C56";"CP_Radial_D8.0mm_P5.00mm";1;"22u";;;
34;"R86,R24,R38,R76,R87";"R_0805_2012Metric";5;"33k";;;
35;"Q4,Q1,Q20,Q18,Q14";"TO-220-3_Vertical";5;"BUZ11";;;
36;"D3,D11,D9";"TO-252-2";3;"D_Schottky_AKA";;;
37;"Q16";"TO-126-3_Vertical";1;"BD136";;;
38;"TH2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"Thermistor_NTC";;;
39;"C87,C88";"CP_Radial_D6.3mm_P2.50mm";2;"100u";;;
40;"L6,L4";"L_Bourns-SRU1028_10.0x10.0mm";2;"220u";;;
41;"R90,R45,R63";"R_0805_2012Metric";3;"1";;;
42;"D17,D14";"D_MiniMELF";2;"LL4148";;;
43;"R50,R51,R94,R80";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";4;"50m";;;
44;"Q5,Q7";"SOT-23";2;"BC807";;;
45;"A1";"PICO";1;"RaspberryPi_Pico";;;
46;"C45,C86,C42,C91,C73,C82,C40";"C_0805_2012Metric";7;"100p";;;
47;"R2,R46";"R_0805_2012Metric";2;"1M";;;
48;"5V1,12V1,5Va1,-5v1,15V1,-3v1,ADC-free1";"TestPoint_Pad_D1.0mm";7;"TestPoint_Probe";;;
49;"C77,C76";"C_0805_2012Metric";2;"10n";;;
50;"D4";"TO-220-3_Vertical";1;"D_Schottky_Dual_CommonCathode_AKA";;;
51;"D1";"D_MiniMELF";1;"15V";;;
52;"R73,R21,R19,R17";"R_0805_2012Metric";4;"10";;;
53;"C64,C63";"C_2220_5750Metric";2;"10n";;;
54;"U22";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM337L_SO8";;;
55;"U1";"SOIC-16_3.9x9.9mm_P1.27mm";1;"TL494";;;
56;"U19";"SOIC-8_3.9x4.9mm_P1.27mm";1;"L78L12_SO8";;;
57;"U3";"SOT-23";1;"LM4040DBZ-3";;;
58;"L2,L3";"L_Toroid_Vertical_L31.8mm_W15.9mm_P13.50mm_Bourns_5700";2;"HCTI-27-15.6";;;
59;"J1";"IDC-Header_2x17_P2.54mm_Vertical";1;"Conn_02x17_Odd_Even";;;
60;"C74,C43,C83,C92,C41";"C_0805_2012Metric";5;"NC";;;
61;"fan1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
62;"D13";"D_SMC";1;"1N62xxA";;;
63;"Q15";"TO-126-3_Vertical";1;"BD139";;;
64;"R106";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"500m";;;
65;"Q6,Q2";"SOT-23";2;"BC817";;;
66;"D16";"D_MiniMELF";1;"2v4";;;
67;"L5";"L_Bourns-SRU1028_10.0x10.0mm";1;"470u";;;
68;"U20";"SOIC-8_3.9x4.9mm_P1.27mm";1;"L78L05_SO8";;;
69;"C7";"C_0805_2012Metric";1;"1n";;;
70;"R10";"R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical";1;"10";;;
71;"Vout1";"TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
72;"C66";"C_0805_2012Metric";1;"330p";;;
73;"L1";"L_Toroid_Vertical_L21.6mm_W11.4mm_P7.62mm_Pulse_KM-3";1;"HCTI-56-10.2";;;
74;"R23,R26";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";2;"10m";;;
75;"R18";"R_0805_2012Metric";1;"0";;;
76;"Q3";"SOT-23-3";1;"BC808";;;
