Designator,Footprint,Quantity,Value,LCSC Part #
"-3V1, -5V1, 12V1, 15V1, 5V1, 5VA1, ADC-FREE1",TestPoint_Pad_D1.0mm,7,TestPoint_Probe,
A1,PICO,1,RaspberryPi_Pico,
"C1, C15, C3, C4, C46, C47, C49, C5, C50, C52, C53, C67, C68, C70, C72, C75, C78, C79, C84, C93",0805,20,100n,
"C10, C11, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C9",1206,23,2u2,
"C12, C6, C8, C94",0805,4,1u,
"C13, C14, C36, C37, C38, C39, C48",CP_Radial_D10.0mm_P5.00mm,7,470u,
"C2, C80, C81",0805,3,4u7,
"C40, C42, C45, C73, C82, C86, C91",0805,7,100p,
"C41, C43, C74, C83, C92, R37, R43, R68, R83, R97",0805,10,NC,
"C44, C51, C54, C55, C57, C58, C59, C60, C61, C65, C69, C85, C89",1206,13,1u,
C56,CP_Radial_D8.0mm_P5.00mm,1,22u,
"C62, C71, C90",CP_Radial_D8.0mm_P5.00mm,3,220u,
"C63, C64",2220,2,10n,
C66,0805,1,330p,
C7,0805,1,1n,
"C76, C77",0805,2,10n,
"C87, C88",CP_Radial_D6.3mm_P2.50mm,2,100u,
D1,D_MiniMELF,1,15V,
"D10, D19, D20, D5, D6, D7, D8",D_SOD-123,7,LL4148,
"D11, D3, D9",TO-252-2,3,D_Schottky_AKA,
"D12, D15, D2, D21",D_SMA,4,D_Schottky,
D13,D_SMC,1,1N62xxA,
"D14, D17",D_MiniMELF,2,LL4148,
D16,D_MiniMELF,1,2v4,
D18,D_MiniMELF,1,3v9,
D4,TO-220-3_Vertical,1,D_Schottky_Dual_CommonCathode_AKA,
FAN1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J1,IDC-Header_2x17_P2.54mm_Vertical,1,Conn_02x17_Odd_Even,
L1,L_Toroid_Vertical_L21.6mm_W11.4mm_P7.62mm_Pulse_KM-3,1,HCTI-56-10.2,
"L2, L3",L_Toroid_Vertical_L31.8mm_W15.9mm_P13.50mm_Bourns_5700,2,HCTI-27-15.6,
"L4, L6",L_Bourns-SRU1028_10.0x10.0mm,2,220u,
L5,L_Bourns-SRU1028_10.0x10.0mm,1,470u,
LS1,Buzzer_12x9.5RM7.6,1,Speaker,
"Q1, Q14, Q18, Q20, Q4",TO-220-3_Vertical,5,BUZ11,
"Q10, Q11, Q12, Q13, Q17, Q19, Q9",SOT-23,7,2N7002K,
Q15,TO-126-3_Vertical,1,BD139,
Q16,TO-126-3_Vertical,1,BD136,
"Q2, Q6",SOT-23,2,BC817,
Q3,SOT-23-3,1,BC808,
"Q5, Q7",SOT-23,2,BC807,
Q8,TO-220-3_Vertical,1,TIP41B,
"R1, R104, R105, R13, R27, R28, R31, R32, R33, R34, R36, R39, R40, R48, R49, R69, R70, R71, R72, R77, R78, R82, R84, R85, R92, R93, R98, R99",0805,28,2k2,
R10,R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical,1,10,
"R100, R101, R14, R22, R35, R41, R6, R7, R74, R75, R79, R8, R89, R91",0805,14,47k,
"R102, R52, R95",0805,3,3k,
"R103, R20, R53, R67, R96",0805,5,1k,
R106,2512,1,500m,
"R11, R12, R3, R5, R54, R55, R56, R59, R60, R61, R81, R88",0805,12,10k,
"R15, R4, R42",0805,3,4k7,
"R16, R25, R29, R30, R9",0805,5,1k2,
"R17, R19, R21, R73",0805,4,10,
R18,0805,1,0,
"R2, R46",0805,2,1M,
"R23, R26",2512,2,10m,
"R24, R38, R76, R86, R87",0805,5,33k,
"R44, R47, R62, R64, R65",0805,5,39k,
"R45, R63, R90",0805,3,1,
"R50, R51, R80, R94",2512,4,50m,
"R57, R58",1206,2,1M,
R66,0805,1,11k,
TH1,0805,1,Thermistor_NTC,
TH2,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,Thermistor_NTC,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,TL494,
"U10, U11, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,RC4580,
"U12, U15, U21",SOIC-8_3.9x4.9mm_P1.27mm,3,MC34063AD,
"U13, U14, U4, U5, U6, U7, U8",SOT-23-6_Handsoldering,7,74LVC1G3157,
"U16, U18",SOIC-14_3.9x8.7mm_P1.27mm,2,LM324,
U17,MSOP-10_3x3mm_P0.5mm,1,MCP4728,
U19,SOIC-8_3.9x4.9mm_P1.27mm,1,L78L12_SO8,
U2,TO-252-5_TabPin3,1,APE1707H-HF,
U20,SOIC-8_3.9x4.9mm_P1.27mm,1,L78L05_SO8,
U22,SOIC-8_3.9x4.9mm_P1.27mm,1,LM337L_SO8,
U3,SOT-23,1,LM4040DBZ-3,
VIN1,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,1,Vin,
VOUT1,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,1,Screw_Terminal_01x02,
